,name,rows,cols,ub,link
94,False,,,False,https://www.kaggle.com/datasets/nithinreddy90/wa-fn-usec-telco-customer-churn
95,Customer churn dataset,7043.0,21.0,1.76,https://www.kaggle.com/datasets/kirolosatef/customer-churn-dataset
96,WA_Fn-UseC_-Telco-Customer-Churn,7043.0,21.0,1.76,https://www.kaggle.com/datasets/palashfendarkar/wa-fnusec-telcocustomerchurn
97,HackerEarth: How NOT to lose a customer in 10 days,5.0,2.0,7.65,https://www.kaggle.com/datasets/parv619/hackerearth-how-not-to-lose-a-customer-in-10-days
98,Customer Churn & Segmentation Dataset (Synthetic),2000.0,9.0,6.47,https://www.kaggle.com/datasets/efeyldz/customer-churn-and-segmentation-dataset-synthetic
99,Customer Churn Telco,750.0,20.0,8.82,https://www.kaggle.com/datasets/nursyahrina/customer-churn-telco
100,Airline Loyalty Program (Canada),2.0,3.0,10.00,https://www.kaggle.com/datasets/siddharth0935/airline-loyalty-program
101,Customer Churn,1000.0,10.0,2.94,https://www.kaggle.com/datasets/ehsanbouji/customer-churn
102,False,,,False,https://www.kaggle.com/datasets/k123vinod/insurance-churn-prediction-weekend-hackathon
103,Bank Churn Dataset,110000.0,2.0,9.41,https://www.kaggle.com/datasets/harshitstark/dataset
104,False,,,False,https://www.kaggle.com/datasets/erolmasimov/powerco
105,Credit Card Customer Churn Prediction,7043.0,21.0,3.53,https://www.kaggle.com/datasets/mahmudulhaqueshawon/credit-card-customer-churn-prediction
106,Marketing Insights for E-Commerce Company,1468.0,4.0,8.82,https://www.kaggle.com/datasets/rishikumarrajvansh/marketing-insights-for-e-commerce-company
107,Netflix Users Database,25000.0,8.0,10.00,https://www.kaggle.com/datasets/smayanj/netflix-users-database
108,customer churn,1000.0,6.0,2.35,https://www.kaggle.com/datasets/nmnbabbar/customer-churn
109,Synthetic Telecom Customer Churn Data,650.0,14.0,9.41,https://www.kaggle.com/datasets/abdulrahmanqaten/synthetic-customer-churn
110,bank_churn,110000.0,2.0,8.24,https://www.kaggle.com/datasets/bravo03/bank-churn
111,Bank Customer Churn,10000.0,12.0,1.76,https://www.kaggle.com/datasets/adepvenugopal/telco-customer-churn
112,Bank Churn (test),110000.0,13.0,8.24,https://www.kaggle.com/datasets/harshitstark/bank-churn-dataset-test
113,Sample Telco Customer Churn Dataset,7011.0,21.0,7.65,https://www.kaggle.com/datasets/easonlai/sample-telco-customer-churn-dataset
114,Synthetic Customer Analytics Dataset,100000.0,20.0,10.00,https://www.kaggle.com/datasets/siddharth0935/synthetic-customer-analytics-dataset
115,Telecom Customer Churn,7043.0,21.0,2.94,https://www.kaggle.com/datasets/moe5998/telecom-customer-churn
116,Customer-churn-datasets,7043.0,21.0,4.12,https://www.kaggle.com/datasets/ranasarkar15/customerchurndatasets
117,CDR-Call Details Record Dataset,101000.0,17.0,9.41,https://www.kaggle.com/datasets/anshulmehtakaggl/cdrcall-details-record-predict-telco-churn
118,Churn Modelling - Classification Training,10000.0,14.0,8.24,https://www.kaggle.com/datasets/alyelbadry/churn-modelling-cluster-training
119,Auto Insurance churn analysis dataset,1540000.0,7.0,8.82,https://www.kaggle.com/datasets/merishnasuwal/auto-insurance-churn-analysis-dataset
120,Retail Sales and Customer Behavior Analysis,1000000.0,78.0,7.06,https://www.kaggle.com/datasets/utkalk/large-retail-data-set-for-eda
121,Customer Churn - Decision Tree & Random Forest,7043.0,21.0,10.00,https://www.kaggle.com/datasets/vikramamin/customer-churn-decision-tree-and-random-forest
122,Churn Modeling Bank,10000.0,14.0,10.00,https://www.kaggle.com/datasets/amirmotefaker/churn-modeling-bank
123,CUSTOMER CHURN,7043.0,21.0,2.35,https://www.kaggle.com/datasets/rayenkhayat/customer-churn
124,Customer Churn dataset for Life Insurance Industry,200000.0,12.0,4.71,https://www.kaggle.com/datasets/usmanfarid/customer-churn-dataset-for-life-insurance-industry
125,False,,,False,https://www.kaggle.com/datasets/lclave/customer-churn
126,Project Telecommunication Customer Churn,3333.0,17.0,4.12,https://www.kaggle.com/datasets/dhanushu2012/project-telecommunication-customer-churn
127,Telecommunication Customer Churn Data,7043.0,21.0,5.88,https://www.kaggle.com/datasets/ebruiserisobay/telcods
128,Customer Churn,64400.00000000001,12.0,4.71,https://www.kaggle.com/datasets/sohailaelsayed/customer-churn
129,Customer Churn with explainable AI,10000.0,14.0,4.71,https://www.kaggle.com/datasets/teesoong/customer-churn-with-explainable-ai
130,Digital Marketing | E-Commerce | Customer Behavior,,20.0,3.53,https://www.kaggle.com/datasets/ermismbatuhan/digital-marketing-ecommerce-customer-behavior
131,Customer Churn Prediction Dataset,7043.0,21.0,1.76,https://www.kaggle.com/datasets/studymart/customer-churn-prediction
132,False,,,False,https://www.kaggle.com/datasets/joy11117/customer-churn-dataset
133,Bank Customer Churn Prediction,10000.0,14.0,1.76,https://www.kaggle.com/datasets/aarushikamboj/bank-customer-churn-prediction
134,Bank Churn (train),165000.0,14.0,8.24,https://www.kaggle.com/datasets/harshitstark/bank-churn-train
135,Customer-Churn,1343.0,1.0,3.53,https://www.kaggle.com/datasets/karamalhanatleh/customer-churn
136,Practice Dataset Predict Customer Churn (Telecom),3333.0,11.0,6.47,https://www.kaggle.com/datasets/gaurangswarge/practice-dataset-predict-customer-churn-telecom
137,Bank Customer Churn,158000.0,14.0,5.88,https://www.kaggle.com/datasets/cat-reloaded-data-science/bank-customer-churn
138,Bank Churn Prediction,175000.0,25.0,10.00,https://www.kaggle.com/datasets/willianoliveiragibin/bank-churn-prediction
139,EcommerceCustomerData,1000.0,11.0,8.24,https://www.kaggle.com/datasets/adityasingh01676/ecommercecustomerdata
140,Customer Churn in Large Dataset,100000.0,9.0,5.29,https://www.kaggle.com/datasets/msarvesh/customer-churn-in-large-dataset
141,Customer Churn Dataset,22100.0,21.0,2.35,https://www.kaggle.com/datasets/the0electronic0guy/customer-churn-dataset
142,Customer Churn,3333.0,21.0,1.76,https://www.kaggle.com/datasets/jhskaggle/lecture04part2
143,Customer Churn Prediction Analysis,91700.0,36.0,1.18,https://www.kaggle.com/datasets/huzaiftila/customer-churn-prediction-analysis
144,Brazilian e-commerce company: OLIST,99400.0,5.0,10.00,https://www.kaggle.com/datasets/erak1006/brazilian-e-commerce-company-olist
145,Internet Customer Churn,1409.0,20.0,2.94,https://www.kaggle.com/datasets/krishnanshverma/internet-customer-churn
146,telecom_Churn,7043.0,21.0,5.88,https://www.kaggle.com/datasets/ritikasaini/telecom-churn
147,Customer Churn Prediction Dataset,1000.0,6.0,9.41,https://www.kaggle.com/datasets/sahideseker/customer-churn-prediction-dataset
148,Telco-customer-churn,7043.0,30.0,7.65,https://www.kaggle.com/datasets/singhnproud77/telcocustomerchurn
149,bank customers churn,17855.0,12.0,5.88,https://www.kaggle.com/datasets/lashkingl/bank-customers-churn
150,Customer Churn Dataset,10000.0,14.0,1.18,https://www.kaggle.com/datasets/sercanyesiloz/customer-churn-dataset
151,Customer Churn Data,200.0,28.0,5.29,https://www.kaggle.com/datasets/aysenurdalfidan/customer-churn-data
152,Telecommunications Industry Customer churn DB,2.0,2.0,5.88,https://www.kaggle.com/datasets/mezowahed/telecommunications-industry-customer-churn-db
153,Customer churn dataset,11000.0,18.0,4.71,https://www.kaggle.com/datasets/zagroz901/customer-churn-dataset
154,Credit card dataset for visualization,32.0,4.0,9.41,https://www.kaggle.com/datasets/peachji/credit-card-dataset
155,Telecom Customer Churn Prediction,7043.0,21.0,0.59,https://www.kaggle.com/datasets/rjmanoj/telecom-customer-churn-prediction
156,Customer Churn Dataset,7043.0,21.0,1.76,https://www.kaggle.com/datasets/divanshu22/customer-churn-dataset
157,telecom churn dataset,100000.0,226.0,5.88,https://www.kaggle.com/datasets/datajameson/telecom-churn-dataset
158,Flight_Analytics_Dataset,100.0,18.0,10.00,https://www.kaggle.com/datasets/goyaladi/flight-dataset
159,Churn data,10000.0,14.0,6.47,https://www.kaggle.com/datasets/synful/churn-data
160,Advanced Customer Churn Prediction,7043.0,21.0,8.82,https://www.kaggle.com/datasets/graceegbe12/advanced-customer-churn-prediction
161,Telecom-Customer_Churn,7043.0,21.0,5.29,https://www.kaggle.com/datasets/lampubhutia/telecomcustomer-churn
162,Customer Churn Prediction,1000.0,9.0,6.47,https://www.kaggle.com/datasets/saivamsir/customer-churn
163,HR_Dataset,15000.0,10.0,3.53,https://www.kaggle.com/datasets/kadirduran/hr-dataset
164,Databel Telecom Customer Churn Dataset,6687.0,29.0,1.76,https://www.kaggle.com/datasets/yichienchong/databel-telecom-customer-churn-dataset
165,Bank customer churn,10000.0,14.0,1.76,https://www.kaggle.com/datasets/nrng19/bank-customer-churn
166,BigQuery Churn Dataset,4250.0,21.0,10.00,https://www.kaggle.com/datasets/mustafakeser4/bigquery-churn-dataset
167,telecom_churn_data,38.0,2.0,4.71,https://www.kaggle.com/datasets/santhraul/telecom-churn-data
168,Analyzing Customer Churn and Its Impact on Revenue,750.0,6.0,9.41,https://www.kaggle.com/datasets/thedevastator/analyzing-customer-churn-and-its-impact-on-reven
169,Customer Churn,10000.0,15.0,1.76,https://www.kaggle.com/datasets/ranjeetshrivastav/customer-churn
170,bank customers and their churn behavior,10000.0,14.0,4.71,https://www.kaggle.com/datasets/sharanharsoor/bank-customers-and-their-churn-behavior
171,Customer Churn,3333.0,21.0,1.76,https://www.kaggle.com/datasets/caojingw/customer-churn
172,Customer Churn dataset for a Retail Industry,5630.0,20.0,2.35,https://www.kaggle.com/datasets/nastaranzandi/customer-churn-dataset-for-a-retail-industry
173,Churn Data set,544.0,20.0,8.53,https://www.kaggle.com/datasets/abhigm/churn-data-set
174,Spotify Customer Churn dataset,1000.0,10.0,9.41,https://www.kaggle.com/datasets/abdulwadood11220/spotify-customer-churn-dataset
175,XYZ Bank Customer Churn,3999.0,14.0,9.41,https://www.kaggle.com/datasets/soumilmukhopadhyay/xyz-bank-customer-churn
176,Telco Customer Churn,7043.0,21.0,2.94,https://www.kaggle.com/datasets/engahmedelzoz/telco-customer-churn
177,Telecom_Churn Details of Customer,7032.0,21.0,8.24,https://www.kaggle.com/datasets/hemachandiranmurugan/telecom-churn-details-of-customer
178,Telco Customer Churn,7043.0,21.0,2.35,https://www.kaggle.com/datasets/birgulkilic/telco-customer-churn
179,Telco-Customer-Churn,7043.0,21.0,1.76,https://www.kaggle.com/datasets/tarzon/telcocustomerchurn
180,TeleCommunications,1000.0,12.0,4.71,https://www.kaggle.com/datasets/navins7/telecommunications
181,churn_modelling,10000.0,14.0,4.12,https://www.kaggle.com/datasets/jssunmathi/churn-modelling
182,Netflix Customer Churn and Engagement Dataset,1000.0,16.0,3.53,https://www.kaggle.com/datasets/dddtra/netflix-customer-churn-and-engagement-dataset
183,Customer churn Dataset,10000.0,14.0,4.71,https://www.kaggle.com/datasets/pranjal323/customer-churn-dataset
184,Churn Modelling,10000.0,14.0,7.65,https://www.kaggle.com/datasets/shrutimechlearn/churn-modelling
185,TelecomChurnInsights 2022,7043.0,21.0,5.88,https://www.kaggle.com/datasets/ashirzaki/telecomchurninsights
186,Subscription Churn Dataset,963.0,21.0,8.82,https://www.kaggle.com/datasets/sameerhussain007/subscription-churn-dataset
187,False,,,False,https://www.kaggle.com/datasets/dharun4772/powerco-churn-data
188,Customer-Churn,7043.0,21.0,4.12,https://www.kaggle.com/datasets/sakshirajpura/customerchurn
189,Telco Customer Churn - 2,4265.0,21.0,8.24,https://www.kaggle.com/datasets/davidlaya/telco-customer-churn-2
190,Telecom Churn Dataset,100000.0,226.0,4.12,https://www.kaggle.com/datasets/ashishkumarsingh123/telecom-churn-dataset
191,telecom-customer-churn,4250.0,20.0,1.76,https://www.kaggle.com/datasets/niramay/telecomcustomerchurn
192,Telco Customer Churn,7043.0,21.0,2.94,https://www.kaggle.com/datasets/calistadamara/telco-customer-churn
193,Telecommunications Customer Churn,1409.0,52.0,2.35,https://www.kaggle.com/datasets/krishnanshverma/telecommunications-customer-churn
194,Iranian Churn Dataset,3150.0,14.0,4.71,https://www.kaggle.com/datasets/alinoranianesfahani/iranian-churn-dataset
195,E-Commerce Customer Analytics : Loyalty vs Fraud,5000.0,13.0,10.00,https://www.kaggle.com/datasets/sahilislam007/e-commerce-customer-analytics-loyalty-vs-fraud
196,Expresso Churn Prediction Challenge,380000.0,2.0,4.71,https://www.kaggle.com/datasets/hamzaghanmi/expresso-churn-prediction-challenge
197,Churn For Customer Bank,10000.0,14.0,2.94,https://www.kaggle.com/datasets/firmanwahyu/churn-for-customer-bank
198,Telecom Churn Data,38.0,2.0,7.06,https://www.kaggle.com/datasets/hritikesinghrawat/telecom-churn-data
199,Customer Churn Analysis,12900.0,22.0,1.18,https://www.kaggle.com/datasets/ramakrishnanthiyagu/customer-churn-analysis
200,Telecom Customers Churn,7043.0,21.0,4.12,https://www.kaggle.com/datasets/mohamedhany777/telecom-customers-churn
201,False,,,False,https://www.kaggle.com/datasets/kafayatyusuf/desktop
202,Bank Churn Customer Analysis,,12.0,6.47,https://www.kaggle.com/datasets/akanshachomal/bank-churn-customer-analysis
203,Customer Churn Analysis of Kiwibank,10000.0,13.0,5.88,https://www.kaggle.com/datasets/smmmmmmmmmmmm/customer-churn-analysis-of-kiwibank
204,Bank Customer Churn,10000.0,18.0,2.94,https://www.kaggle.com/datasets/omaebelfeki/bank-customer-churn
205,Customer Churn,7043.0,21.0,1.18,https://www.kaggle.com/datasets/chandueresu/customer-churn
206,Tech Company Data (getlatka.com),527.0,47.0,7.06,https://www.kaggle.com/datasets/gjthompson1/tech-company-data-getlatkacom
207,False,,,False,https://www.kaggle.com/datasets/waseemalastal/telco-customer-churn-ibm-dataset
208,Network Provider Customer Churn Data,7043.0,21.0,2.94,https://www.kaggle.com/datasets/lokeshkum/network-provider-customer-churn-data
209,Bank Churn Pre-processed Dataset,110000.0,2.0,10.00,https://www.kaggle.com/datasets/faizanyousafonly/bank-churn-pre-processed-dataset
210,Churn Modelling (Bank Customer),10000.0,14.0,4.12,https://www.kaggle.com/datasets/muratcakmak/churn-modelling-bank-customer
211,Online Retail Customer Churn Prediction Dataset,9000.0,17.0,9.41,https://www.kaggle.com/datasets/sahilislam007/online-retail-customer-churn-prediction-dataset
212,Insurance Churn Prediction - Machine Hack,11300.0,16.0,7.06,https://www.kaggle.com/datasets/mukulsingh/insurance-churn-prediction
213,Customer Churn Analysis Dataset,1000.0,11.0,5.88,https://www.kaggle.com/datasets/adityayadav01/customer-churn-analysis-dataset
214,Telco Customer Churn,7042.0,9.0,7.06,https://www.kaggle.com/datasets/syedumeerr/telco-customer-churn
215,telecom customer churn dataset,7043.0,21.0,2.94,https://www.kaggle.com/datasets/hajarkhagd/telecom-customer-churn-dataset
216,telco customer churn dataset,7032.0,21.0,2.94,https://www.kaggle.com/datasets/hrishikeshjadhav/telco-customer-churn-dataset
217,MembershipWoes,10400.0,15.0,6.47,https://www.kaggle.com/datasets/varshapandey/assignment-data
218,Bank Turnover Dataset,10000.0,14.0,6.76,https://www.kaggle.com/datasets/barelydedicated/bank-customer-churn-modeling
219,Telco Customer Churn Dataset,7043.0,21.0,2.35,https://www.kaggle.com/datasets/erayyuztyurk/telco-customer-churn-dataset
220,Customer Churn,100.0,8.0,2.35,https://www.kaggle.com/datasets/malchielquaynor/customer-churn
221,Customer Churn Dataset,7043.0,21.0,2.35,https://www.kaggle.com/datasets/tatagsuryopambudi/customer-churn-dataset
222,Data for Analysis & Prediction,19900.0,12.0,5.88,https://www.kaggle.com/datasets/ayst13/flodata
223,Telecom Churn Prediction,126.0,17.0,6.47,https://www.kaggle.com/datasets/sooryaprakash12/telecom-churn-prediction
224,Employee Churn at Dunder Mifflin Paper Company,1543.0,17.0,10.00,https://www.kaggle.com/datasets/cocolicoq4/employee-churn-at-dunder-mifflin-paper-company
225,telco customer churn data set,7043.0,21.0,2.94,https://www.kaggle.com/datasets/mohammedassad/telco-customer-churn-data-set
226,Employee (Augmented),1000000.0,10.0,9.41,https://www.kaggle.com/datasets/mathurinache/employee-augmented
227,Telco Customer churn data set,7043.0,33.0,1.76,https://www.kaggle.com/datasets/charanrajonline/telco-customer-churn-data-set
228,Predict Customer Churn dataset,15000.0,10.0,3.53,https://www.kaggle.com/datasets/muhammadyasirsaleem/predict-customer-churn-dataset
